comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 2193698874354009803; Heute bei der #Digitalkonferenz der #Partei DIE #LINKE. Spannende Diskussionen mit Nadine Müller von #Verdi und Dr. Florian Butollo vom #Weizenbauminstitut beim #Workshop "Gute Arbeit und digitaler Kapitalismus"  #plattformarbeit #plattformökonomie #ki #künstlicheintelligenz #rider #arbeitszeit #mitbestimmung #gutearbeit #kapital #industrie4.0; B5xlYDmC4bL; 0; 1575729306; (1080, 1080); 58; 8722728027; False
False; 2171948211367840480; #kcrwberlinpresents: As part of our coverage for @berlinscienceweek we sent our roving photographer @austinfassino to the #BSWCampus to check out some of the talks, discussions, and exhibits that are happening. Check out our galleries...⠀ ⠀ Photos feature: #1: A display from a group of researchers from #Heidelberg University who are focusing on creating a vaccine which targets #Malaria from an earlier stage than currently available⠀ #2: Student groups having breakout sessions among the exhibits ⠀ #3: a small theatrical performance pop-up in the Dinosaur hall. "Feierabend 4.0 – eine KI-Fiktion – Theatralisches Popup & Diskussion" organized by: #WeizenbaumInstitut/ #Theaterdiscounter"; B4kT2QJIArg; 0; 1573136424; (720, 1080); 14; 6234668808; False
False; 2155133124158673285; What @liloviehweg and I are working on as part of the Open Materials Lab team at #Berlin Open Lab. #Research #Participation #Experiments #Sustainability #OpenScience #weizenbauminstitut; B3okih1J9GF; 0; 1571131910; (1350, 1080); 14; 994262922; False
False; 2151904185159955738; Berlin II: Kantstraße. Cramerstraße. C2. TU Berlin. Cramerstraße/Steinplatz. Steinplatz. Weizenbaum-Institut. Hotel Hardenbergstraße  #berlin #architektur #architecture #kantstraße #kantstrasse #carmerstraße #carmerstrasse #tuberlin #technischeuniversität #technischeuniversitätberlin #steinplatz #steinplatzberlin #weizenbauminstitut #hotel #hardenbergstrasse #hardenbergstraße #hardenbergstrasseberlin #citytrip #hauptstadt #capitalcity #bundeshauptstadt  #charlottenburg #charlottenburgwilmersdorf; B3dGXSDIrUa; 0; 1570746990; (809, 1080); 12; 1270209459; False
False; 2125554203291281317; Yes yes es geht los!! Das European Hub for Civic Engagement Team Ist mit dem Zug auf dem Weg nach Danzig in Polen. Hier findet der erste Workshop mit vielen, spannenden TeilnehmerInnen statt. Wir sprechen, denken, hören und diskutieren über das Phänomen von "Shrinking Spaces", Uber Civic Tech Und über Europa. :smiling_face_with_heart-eyes::European_Union::woman_technologist: We're heading off to Gdansk today! We are looking forward having our first workshop for the "European Hub for Civic Engagement" with a fantastic group of civil society actors and civic tech experts. Find out more about the HUB online. :woman_technologist::European_Union::smiling_face_with_heart-eyes: #shrinkingspace #civictech #europe #europa #shrinkingspaces #tech #digital #zivilgesellschaft #gesellschaft #gdansk #danzig #polen #workshop #democraticsociety #data4change #wzb #weizenbauminstitut #citizensforeurope #allianceforeurope #unite #engagement #demokratie; B1_fElGA-el; 2; 1567605828; (1080, 1080); 28; 4259340430; False
False; 2108728275116054407; Landpartie #researchretreat . . . #badbelzig #brandenburg #weizenbauminstitut #kaffeeundkuchen; B1DtTGWHVeH; 0; 1565600021; (1080, 1080); 32; 298118380; False
False; 2103719251796897344; A DANCE WITH AI - An Interview from @plasmamagazine with Dr. Diana Alina Serbanescu, Team Lead of Research Group Criticality of AI-based Systems at the #weizenbauminstitut for the Networked Society #braincityberlin #plasmaberlin #plasmamagazine5  read more at: https://plasma-magazine.com/2019/03/27/an-interdisciplinary-dance-with-ai/; B0x6YN2gS5A; 0; 1565002899; (1080, 1080); 21; 4614834842; False
False; 2045054851561957037; digital education - wir sind gespannt welche neuen Inputs wir bekommen für unsere #kurse #weizenbauminstitut #herdercampus #vr #ar #bildung #mode #design #ki #berlin #hamburg #frankfurtammain #münchen; Bxhfo1liiat; 0; 1558009557; (1078, 1080); 20; 9434880032; False
False; 2044995522041357696; ... mal schauen was es da zu horchen gibt. am #weizenbauminstitut :winking_face:; BxhSJeqiiWA; 0; 1558002485; (920, 1080); 9; 7268403244; False
False; 2024186087077177305; New blogpost up about put workshops in Berlin and a new documentary on Ai and kids coming out this week! #cognimates #tlabs #weizenbauminstitut #berlin #ai4kids; BwXWoWHhefZ; 0; 1555521807; (1082, 1080); 1; 12056808541; False
False; 2008982073390777051; PLASMA: What are your main concerns in relation to AI? Serbanescu: My main concern is that we need to create systems that are diverse and inclusive but also accessible to everyone. AI is a powerful tool and everyone should be granted equal access to it. Only then can these tools be beneficial for society. Otherwise, all these technologies will do is further exacerbate the inequality gap. We want our work here to help make the world a better place. At the moment it is really hard to predict how these systems are going to evolve and become self aware. Regardless of this, the important questions to keep in mind still remain – where do we want to go with this technology and who will possess it? :white_circle:. Follow up on her interdisciplinary research in our full interview article this May #plasmamagazine5 in collaboration with @braincityberlin pic @noraheinisch  Editors: Diana Wehmeier / Azul Pinochet Barros #braincityberlin #interview #DianaAlinaSerbanescu #plasmaberlin #berlin #science #weizenbauminstitut #AI #airesearch #performanceart #inspiration #artandscience #artandtechnology #research #plasmamagazine #dianawehmeier #noraheinisch #AzulPinochetBarros #interdisciplinary #futuretechnology; BvhVo08lcLb; 0; 1553709347; (720, 1080); 76; 3120282477; False
False; 2008706339854167279; An Interdisciplinary Dance with AI :robot_face:  Intelligence comes from the vision of the painter as much as it does from the logic of the mathematician. The people working at the Weizenbaum Institute in Berlin, like Dr. Diana Alina Serbanescu, believe that it takes these two very different kinds of minds to understand AI and the challenges it poses for our society. Follow up on her interdisciplinary research in our full interview article this May #plasmamagazine5 in collaboration with @braincityberlin :red_circle: pic @noraheinisch  Editors: Diana Wehmeier / Azul Pinochet Barros #braincityberlin #interview #DianaAlinaSerbanescu #plasmaberlin #berlin #science #weizenbauminstitut #AI #airesearch #performanceart #inspiration #artandscience #artandtechnology #research #plasmamagazine #dianawehmeier #noraheinisch #AzulPinochetBarros #interdisciplinary; BvgW8YFFSzv; 0; 1553676477; (1350, 1080); 71; 3120282477; False
False; 2008705485432491201; An Interdisciplinary Dance with AI :robot_face:  Intelligence comes from the vision of the painter as much as it does from the logic of the mathematician. The people working at the Weizenbaum Institute in Berlin, like Dr. Diana Alina Serbanescu, believe that it takes these two very different kinds of minds to understand AI and the challenges it poses for our society. Follow up on her interdisciplinary research in our full interview article this May #plasmamagazine5 in collaboration with @braincityberlin :red_circle: pic @noraheinisch  Editors: Diana Wehmeier / Azul Pinochet Barros #braincityberlin #interview #DianaAlinaSerbanescu #plasmaberlin #berlin #science #weizenbauminstitut #AI #airesearch #performanceart #inspiration #artandscience #artandtechnology #research #plasmamagazine #dianawehmeier #noraheinisch #AzulPinochetBarros #interdisciplinary; BvgWv8VlQzB; 2; 1553676375; (1350, 1080); 67; 3120282477; False
False; 1903918518928600610; #weizenbauminstitut; BpsE846Bu4i; 0; 1541184795; (810, 1080); 12; 6930503031; False
False; 1871734415103370913; Gestern Abend feierte das @weizenbauminstitut seinen ersten Geburtstag in #Berlin. Als Netzwerkpartner ließen wir es uns natürlich nicht nehmen, mitzufeiern. Neben einem spannenden Austausch u.a. mit den Forschungsgruppen und der Besichtigung der Büroräume stand eine interessante Podiumsdiskussion auf dem Programm. Unser Direktor @philippotto_ diskutierte mit Katja Jäger vom @betterplace_org-Lab, Dr. Ulrike Klinger, Dr. Thorsten Thiel und Prof. Dr. Ina Schieferdecker über "Meinungsbildung in der vernetzten Gesellschaft". Neben vielen anderen Aspekten, wie der (Neu-)Definition der Rolle der Öffentlichkeit und der Frage, wie man die Menschen auch mit Mitteln der Digitalisierung für politisches Engagement begeistern kann, ging es auch über eine mögliche Neuorganisation der Zivilgesellschaft.  #weizenbauminstitut#weizenbaum#science#diskussion#digital#gesellschaft#socialbots#politics#politik#meinung#fakenews#demokratie#thinktank#wissenschaft#desinformation#lab; Bn5vIieHCah; 1; 1537348151; (611, 1080); 21; 7471041808; False
False; 1861582834906849176; Good morning #weizenbauminstitut @JWI_Berlin . . . #internetinstitut #architecture #zooberlin #westberlin #h32; BnVq7mqll-Y; 1; 1536137988; (1080, 1080); 19; 298118380; False
False; 1786387030109277166; New work for #newwork  #conceptsketch #interiordesign #illustration #architektur #archisketcher #sketching #weizenbauminstitut @kimwang2018; BjKhYoJB0vu; 0; 1527173950; (1080, 1080); 28; 4589232332; False
False; 1780382599022454102; Diese Woche waren wir zu Gast beim Symposium des Weizenbaum-Instituts in der Technischen Universität Berlin. Thema war "The Future of Work and Innovation in a Networked Society". Sehr spannende Diskussionen darüber, wie Künstliche Intelligenz in verschiedene Bereiche unseres Lebens hineinwirkt, mit vielen tollen  Referentinnen und Referenten. // Yesterday we attended a conference at TU Berlin by #weizenbauminstitut with great discussions about #AI in different areas of our lifes.  #KI#digital#university#academic#digitalisation#life#conference#stage; Bi1MIp7BSVW; 2; 1526458166; (608, 1080); 19; 7471041808; False
False; 1774103961352345979; Event Space #sketch with #conceptapp #vectorgraphics #conceptsketch #archisketcher #interiordesign #newwork #weizenbauminstitut @kimwang2018; Bie4ic7BRl7; 0; 1525709694; (1080, 1080); 37; 4589232332; False
False; 1755996964011826632; Als Vernetzungspartner waren wir heute zu Gast beim #weizenbauminstitut in #Berlin und haben uns mit den entsprechenden Forschungsgruppen und weiteren Partnerinnen und Partnern ausgetauscht. :speech_balloon::handshake::left_speech_bubble: Es ist immer wieder großartig zu sehen, wie viele spannende Themen und welche interessanten Ansätze und Perspektiven es im Zusammenhang mit der #Digitalisierung gibt. // As a partner of The Weizenbaum-Institute we took part in a #meeting today with different research groups and other partners. So great to discuss the many different fields and aspects of the #digitalisation of our #society. So much interesting #work to do!  #irightslab#digital#passion#science#Wissenschaft#Austausch; Bheje9ilt3I; 0; 1523551172; (1080, 1080); 15; 7471041808; False
